domain,name,industry,employee_count,location
jasper.ai,Jasper,AI Marketing Software,300,"Austin, TX"
workrise.com,Workrise,Workforce Management,600,"Austin, TX"
zenbusiness.com,ZenBusiness,Business Formation Services,500,"Austin, TX"
alertmedia.com,AlertMedia,Emergency Communication Software,400,"Austin, TX"
self.inc,Self Financial,Consumer Fintech,300,"Austin, TX"
aceable.com,Aceable,Online Education,250,"Austin, TX"
arrivelogistics.com,Arrive Logistics,Freight Brokerage,1500,"Austin, TX"
iconbuild.com,ICON,Construction Technology,400,"Austin, TX"
outdoorsy.com,Outdoorsy,RV Rental Marketplace,300,"Austin, TX"
literati.com,Literati,Book Subscription,150,"Austin, TX"
osano.com,Osano,Data Privacy Software,120,"Austin, TX"
shipwell.com,Shipwell,Supply Chain Software,200,"Austin, TX"
homeward.com,Homeward,Real Estate Fintech,300,"Austin, TX"
sanabenefits.com,Sana Benefits,Health Insurance,200,"Austin, TX"
wheel.com,Wheel,Virtual Care Platform,250,"Austin, TX"
cart.com,Cart.com,Ecommerce Software,700,"Austin, TX"
eterneva.com,Eterneva,Memorial Diamonds,80,"Austin, TX"
firefly.com,Firefly Aerospace,Aerospace,700,"Cedar Park, TX"
disco.co,DISCO,Legal Technology,500,"Austin, TX"
billd.com,Billd,Construction Fintech,150,"Austin, TX"
